"","StationNumber","StationType","MeasurementStartDate","MeasurementEndDate","Number ofSamples","StationStatus"
"","1000000439","Groundwater","19-Feb-2002","19-Feb-2002","1","Not Active"
"","1000000443","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000445","Groundwater","19-Feb-2002","19-Feb-2002","1","Not Active"
"","1000000447","Groundwater","19-Feb-2002","19-Feb-2002","1","Not Active"
"","1000000449","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000451","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000453","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000455","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000457","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000459","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000461","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000463","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000465","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000808","River","27-Sept-2002","28-Jul-2015","8","Active"
"","1000000811","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000813","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000815","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000817","Dam / Lake","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000819","Dam / Lake","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000821","River","27-Sept-2002","21-Jun-2010","14","Active"
"","1000000823","River","27-Sept-2002","25-Mar-2010","11","Active"
"","1000000825","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000827","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000829","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000831","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000833","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000843","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000845","Spring","27-Sept-2002","29-Sept-2002","3","Active"
"","1000000851","Dam / Lake","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000853","Dam / Lake","27-Sept-2002","25-Mar-2010","3","Active"
"","1000000855","River","27-Sept-2002","05-Dec-2024","12","Active"
"","1000000896","Spring","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000898","Spring","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000901","River","26-Sept-2002","26-Sept-2002","1","Active"
"","1000000903","River","26-Sept-2002","26-Sept-2002","1","Active"
"","1000000905","River","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000907","River","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000910","River","26-Sept-2002","26-Sept-2002","1","Active"
"","1000006568","Groundwater","04-Nov-2003","05-Nov-2003","4","Not Active"
"","1000006570","Groundwater","05-Nov-2003","05-Nov-2003","2","Not Active"
"","1000006572","Groundwater","08-Nov-2003","08-Nov-2003","2","Not Active"
"","1000006574","Groundwater","10-Nov-2003","11-Nov-2003","4","Not Active"
"","1000006576","Groundwater","07-Nov-2003","07-Nov-2003","2","Not Active"
"","1000006864","Groundwater","18-Nov-2003","07-Jul-2004","5","Not Active"
"","1000006868","Groundwater","18-Nov-2003","01-Jul-2004","5","Not Active"
"","1000006870","Groundwater","25-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006878","Groundwater","19-Nov-2003","01-Jul-2004","5","Not Active"
"","1000006888","Groundwater","27-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006890","Groundwater","26-Nov-2003","29-Jun-2004","3","Not Active"
"","1000006892","Groundwater","19-Nov-2003","01-Jul-2004","4","Not Active"
"","1000006894","Groundwater","18-Nov-2003","07-Jul-2004","5","Not Active"
"","1000006896","Groundwater","19-Nov-2003","19-Nov-2003","2","Not Active"
"","1000006898","Groundwater","19-Nov-2003","01-Jul-2004","3","Not Active"
"","1000006900","Groundwater","25-Nov-2003","06-Jul-2004","5","Not Active"
"","1000006910","Groundwater","19-Nov-2003","07-Jul-2004","5","Not Active"
"","1000006916","Groundwater","28-Nov-2003","28-Nov-2003","4","Not Active"
"","1000006918","Groundwater","18-Nov-2003","18-Nov-2003","3","Not Active"
"","1000006920","Groundwater","01-Dec-2003","01-Dec-2003","4","Not Active"
"","1000006922","Groundwater","17-Nov-2003","01-Jul-2004","5","Not Active"
"","1000006926","Groundwater","17-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006932","Groundwater","19-Nov-2003","12-Jul-2004","5","Not Active"
"","1000006934","Groundwater","28-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006936","Groundwater","18-Nov-2003","08-Jul-2004","5","Not Active"
"","1000006938","Groundwater","18-Nov-2003","18-Nov-2003","2","Not Active"
"","1000006940","Groundwater","25-Nov-2003","25-Nov-2003","3","Not Active"
"","1000006942","Groundwater","26-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006944","Groundwater","17-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006946","Groundwater","17-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006948","Groundwater","24-Nov-2003","24-Nov-2003","2","Not Active"
"","1000006958","Groundwater","18-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006960","Groundwater","18-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006962","Groundwater","25-Nov-2003","25-Nov-2003","3","Not Active"
"","1000006964","Groundwater","28-Nov-2003","28-Nov-2003","4","Not Active"
"","1000006966","Groundwater","03-Dec-2003","03-Dec-2003","3","Not Active"
"","1000006968","Groundwater","03-Dec-2003","06-Jul-2004","6","Not Active"
"","1000006970","Groundwater","24-Nov-2003","24-Nov-2003","3","Not Active"
"","1000006972","Groundwater","24-Nov-2003","24-Nov-2003","3","Not Active"
"","1000006974","Groundwater","19-Nov-2003","19-Nov-2003","3","Not Active"
"","1000006976","Groundwater","19-Nov-2003","19-Nov-2003","3","Not Active"
"","1000006978","Groundwater","19-Nov-2003","07-Jul-2004","5","Not Active"
"","1000007362","Groundwater","27-Nov-2003","12-Jul-2004","6","Not Active"
"","1000007370","Groundwater","03-Dec-2003","06-Jul-2004","5","Not Active"
"","1000007390","Spring","01-Dec-2003","01-Dec-2003","3","Not Active"
"","1000007759","Groundwater","26-Nov-2003","05-Jul-2004","6","Not Active"
"","1000008705","Waste","08-Feb-2003","05-Aug-2019","155","Not Active"
"","1000008706","Waste","07-Jan-2003","25-Jan-2005","96","Not Active"
"","1000008707","Waste","08-Apr-2003","25-Jan-2005","84","Not Active"
"","1000008710","Waste","04-Jan-2000","26-Apr-2021","431","Not Active"
"","1000008713","Transfer","04-Jan-2000","29-Jun-2010","329","Not Active"
"","1000008719","Waste","13-Jul-2009","28-Jun-2010","42","Not Active"
"","1000008818","Transfer","07-Feb-2000","08-Oct-2013","170","Not Active"
"","1000008822","Waste","10-Jan-2000","22-Jul-2008","199","Not Active"
"","1000008828","Waste","10-Jan-2000","14-Apr-2021","254","Not Active"
"","1000008883","Transfer","07-Feb-2000","04-Dec-2013","52","Not Active"
"","1000008910","Waste","10-Jan-2000","14-Apr-2021","250","Not Active"
"","1000009130","Waste","24-Jan-2000","08-Apr-2021","482","Not Active"
"","1000009137","Waste","01-Jun-1991","15-Nov-2013","501","Not Active"
"","1000009157","Waste","22-Jan-1990","13-Apr-2021","492","Not Active"
"","1000009158","Waste","25-Oct-1990","13-Apr-2021","588","Not Active"
"","1000009160","Waste","12-Jun-1995","27-Feb-2008","294","Not Active"
"","1000009162","Waste","06-Feb-2004","08-Apr-2021","401","Not Active"
"","1000009183","Waste","21-Feb-2005","08-Apr-2021","103","Not Active"
"","1000009188","Waste","04-Jan-2000","28-Apr-2021","245","Not Active"
"","1000009190","Waste","17-May-2000","08-Apr-2021","450","Not Active"
"","1000009192","Waste","18-Jan-2000","28-Apr-2021","316","Not Active"
"","1000009223","Waste","18-Jan-2000","28-Apr-2021","317","Not Active"
"","1000009227","Waste","18-Jan-2000","28-Apr-2021","284","Not Active"
"","1000009246","Waste","13-Oct-2003","06-Sept-2012","196","Not Active"
"","1000009249","Waste","01-Nov-1990","13-Apr-2021","618","Not Active"
"","1000009250","Waste","11-Feb-1991","13-Apr-2021","472","Not Active"
"","1000009363","River","06-Aug-1996","18-Nov-2013","137","Not Active"
"","1000009373","River","06-Aug-1996","18-Nov-2013","135","Not Active"
"","1000009538","Waste","19-May-1992","06-Aug-2019","395","Not Active"
"","1000009550","River","02-Sept-1996","18-Nov-2013","208","Not Active"
"","1000009554","River","06-Aug-1996","17-Oct-2023","136","Active"
"","1000009558","Groundwater","28-Nov-2003","14-Jul-2004","5","Not Active"
"","1000009560","Groundwater","09-Jul-2004","09-Jul-2004","3","Not Active"
"","1000009562","Groundwater","08-Jul-2004","08-Jul-2004","2","Not Active"
"","1000009567","Waste","01-Nov-1994","06-Aug-2019","294","Not Active"
"","1000009573","River","02-Feb-1994","12-Dec-2013","116","Not Active"
"","1000009574","River","14-Feb-1995","12-Dec-2013","300","Not Active"
"","1000009575","River","02-Feb-1994","12-Dec-2013","281","Not Active"
"","1000009576","River","02-Feb-1994","12-Dec-2013","265","Not Active"
"","1000009577","River","02-Feb-1994","02-Jul-2025","321","Active"
"","1000009578","River","22-Nov-2004","02-Jul-2025","153","Active"
"","1000009579","River","09-Feb-1988","12-Dec-2013","297","Not Active"
"","1000009580","River","09-Feb-1988","12-Dec-2013","303","Not Active"
"","1000009581","River","14-Mar-1995","12-Dec-2013","220","Not Active"
"","1000009582","River","14-Feb-1995","12-Dec-2013","152","Not Active"
"","1000009583","River","22-Nov-2004","12-Dec-2013","37","Not Active"
"","1000009584","River","15-May-1990","23-Nov-2005","48","Not Active"
"","1000009585","River","14-Feb-1995","12-Dec-2013","227","Not Active"
"","1000009586","River","14-Feb-1995","12-Dec-2013","208","Not Active"
"","1000009587","River","14-Feb-1995","12-Dec-2013","198","Not Active"
"","1000009595","River","15-May-2000","28-Jun-2007","50","Not Active"
"","1000009742","Waste","28-Apr-1998","19-Feb-2019","275","Not Active"
"","1000009767","Waste","22-Oct-1990","25-Feb-2016","247","Not Active"
"","1000009769","Waste","12-Oct-1990","25-Feb-2016","221","Not Active"
"","1000009771","Waste","22-Oct-1990","25-Feb-2016","218","Not Active"
"","1000010067","Waste","11-Jul-2000","11-Jul-2005","21","Not Active"
"","1000010175","Waste","07-Nov-1990","06-Aug-2019","774","Not Active"
"","1000010182","Waste","13-Feb-1990","06-Aug-2019","598","Not Active"
"","1000010184","Groundwater","21-Oct-2004","08-Feb-2005","4","Active"
"","1000010186","Groundwater","18-Oct-2004","18-Oct-2004","2","Active"
"","1000010193","River","13-May-1996","29-Aug-2012","78","Not Active"
"","1000010194","River","10-Jun-1996","29-Aug-2012","97","Not Active"
"","1000010197","Waste","16-Oct-1990","27-Feb-2006","128","Not Active"
"","1000010198","River","13-May-1996","29-Aug-2012","135","Not Active"
"","1000010199","Transfer","13-May-1996","29-Aug-2012","121","Not Active"
"","1000010200","River","13-May-1996","29-Aug-2012","70","Not Active"
"","1000010201","River","13-May-1996","06-Mar-2013","115","Not Active"
"","1000010202","River","13-May-1996","16-Nov-2005","97","Not Active"
"","1000010203","River","18-May-1998","29-Aug-2012","26","Not Active"
"","1000010204","River","17-Sept-1997","29-Aug-2012","36","Not Active"
"","1000010205","River","17-Sept-1997","29-Aug-2012","56","Not Active"
"","1000010206","River","17-Sept-1997","29-Aug-2012","59","Not Active"
"","1000010207","River","21-Jul-2004","16-Nov-2005","5","Not Active"
"","1000010208","River","17-Sept-1997","29-Aug-2023","134","Active"
"","1000010209","River","17-Sept-1997","29-Aug-2012","77","Not Active"
"","1000010210","River","17-Sept-1997","29-Aug-2012","64","Not Active"
"","1000010211","River","17-Sept-1997","29-Aug-2012","66","Not Active"
"","1000010212","River","17-Sept-1997","29-Aug-2012","76","Not Active"
"","1000010215","River","08-Jun-1998","29-Aug-2012","43","Not Active"
"","1000010217","River","03-Aug-1999","29-Aug-2012","32","Not Active"
"","1000010218","River","06-Aug-1996","29-Aug-2012","145","Not Active"
"","1000010219","River","06-Aug-1996","06-Mar-2013","155","Not Active"
"","1000010221","Waste","11-Jan-2000","06-Aug-2019","424","Not Active"
"","1000010224","Waste","03-Jul-2002","29-Jan-2008","23","Not Active"
"","1000010229","River","16-Apr-1996","30-Nov-2006","62","Not Active"
"","1000010230","River","14-Apr-1996","12-Dec-2013","108","Not Active"
"","1000010305","Groundwater","12-Nov-2004","27-Jan-2009","8","Not Active"
"","1000010307","Groundwater","18-Oct-2004","02-Oct-2017","19","Active"
"","1000010970","Spring","22-Feb-2005","22-Feb-2005","2","Not Active"
"","1000011050","Groundwater","22-Feb-2005","22-Feb-2005","2","Active"
"","1000011052","Groundwater","18-Mar-2005","26-Feb-2008","12","Active"
"","1000011817","Spring","03-May-2005","03-May-2005","2","Not Active"
"","1000011819","Groundwater","05-May-2005","05-May-2005","2","Not Active"
"","1000011821","Groundwater","05-May-2005","05-May-2005","2","Not Active"
"","1000011823","Groundwater","03-May-2005","03-May-2005","2","Not Active"
"","1000011825","Groundwater","03-May-2005","03-May-2005","2","Not Active"
"","1000011828","Spring","03-May-2005","03-May-2005","2","Not Active"
"","1000011830","Spring","03-May-2005","03-May-2005","2","Not Active"
"","1000011832","Spring","03-May-2005","03-May-2005","2","Not Active"
"","1000011834","Spring","03-May-2005","03-May-2005","2","Not Active"
"","1000011836","Spring","03-May-2005","03-May-2005","2","Not Active"
"","1000011840","Groundwater","05-May-2005","05-May-2005","2","Not Active"
"","1000012239","Groundwater","04-Jan-1999","04-Jan-1999","1","Not Active"
"","1000012241","Groundwater","04-Jan-1999","04-Jan-1999","1","Not Active"
"","1000012243","Groundwater","04-Jan-1999","27-May-2008","3","Not Active"
"","1000012245","Groundwater","04-Jan-1999","04-Jan-1999","1","Not Active"
"","1000012313","Spring","06-Jul-2005","06-Jul-2005","2","Not Active"
"","1000012315","Spring","06-Jul-2005","06-Jul-2005","2","Not Active"
"","1000012317","Groundwater","14-Jul-2005","14-Jul-2005","2","Not Active"
"","1000012319","Groundwater","14-Jul-2005","14-Jul-2005","2","Not Active"
"","1000012321","Groundwater","29-Jun-2005","29-Jun-2005","2","Not Active"
"","1000012324","Groundwater","29-Jun-2005","29-Jun-2005","2","Not Active"
"","1000012327","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012329","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012331","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012333","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012335","Groundwater","29-Jun-2005","29-Jun-2005","2","Not Active"
"","1000012337","Groundwater","06-Jul-2005","06-Jul-2005","2","Not Active"
"","1000012341","Groundwater","06-Jul-2005","06-Jul-2005","2","Not Active"
"","1000012343","Groundwater","20-Jul-2005","20-Jul-2005","2","Not Active"
"","1000012347","Groundwater","30-Jun-2005","30-Jun-2005","2","Not Active"
"","1000012349","Groundwater","14-Jul-2005","14-Jul-2005","2","Not Active"
"","1000012351","Groundwater","20-Jul-2005","20-Jul-2005","2","Not Active"
"","1000012353","Groundwater","28-Jul-2005","28-Jul-2005","2","Not Active"
"","1000012355","Groundwater","04-Aug-2005","04-Aug-2005","2","Not Active"
"","1000012357","Groundwater","05-Aug-2005","05-Aug-2005","2","Not Active"
"","1000012359","Groundwater","26-Jul-2005","26-Jul-2005","2","Not Active"
"","1000012361","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012363","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012365","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012367","Groundwater","26-Jul-2005","26-Jul-2005","2","Not Active"
"","1000012369","Groundwater","27-Jul-2005","27-Jul-2005","2","Not Active"
"","1000012371","Groundwater","28-Jul-2005","28-Jul-2005","2","Not Active"
"","1000012373","Groundwater","28-Jul-2005","28-Jul-2005","2","Not Active"
"","1000012375","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012377","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012379","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012381","Groundwater","29-Jul-2005","29-Jul-2005","2","Not Active"
"","1000012383","Groundwater","04-Aug-2005","04-Aug-2005","2","Not Active"
"","1000012385","Groundwater","04-Aug-2005","04-Aug-2005","2","Not Active"
"","1000012387","Groundwater","05-Aug-2005","05-Aug-2005","2","Not Active"
"","1000012389","Groundwater","05-Aug-2005","05-Aug-2005","2","Not Active"
"","1000012391","Groundwater","05-Aug-2005","05-Aug-2005","2","Not Active"
"","1000012393","Groundwater","05-Aug-2005","05-Aug-2005","2","Not Active"
"","1000012512","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012514","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012516","Groundwater","21-Jul-2005","21-Jul-2005","2","Not Active"
"","1000012518","Groundwater","15-Jul-2005","15-Jul-2005","2","Not Active"
"","1000012520","Groundwater","15-Jul-2005","15-Jul-2005","2","Not Active"
"","1000012522","Groundwater","15-Jul-2005","15-Jul-2005","2","Not Active"
"","1000012525","Groundwater","14-Jul-2005","14-Jul-2005","2","Not Active"
"","1000012527","Groundwater","14-Jul-2005","14-Jul-2005","2","Not Active"
"","1000012740","Spring","03-May-2005","03-May-2005","1","Not Active"
"","1000012742","Groundwater","05-May-2005","05-May-2005","1","Not Active"
"","1000012974","Groundwater","04-Aug-2005","04-Aug-2005","2","Not Active"
"","1000012976","Groundwater","04-Aug-2005","04-Aug-2005","2","Not Active"
"","1000012980","Groundwater","28-Jul-2005","28-Jul-2005","2","Not Active"
"","1000012982","Groundwater","17-Aug-2005","17-Aug-2005","2","Not Active"
"","1000012984","Groundwater","16-Aug-2005","16-Aug-2005","2","Not Active"
"","1000012986","Groundwater","16-Aug-2005","16-Aug-2005","2","Not Active"
"","1000012988","Groundwater","05-Aug-2005","13-Mar-2018","7","Not Active"
"","1000012990","Groundwater","05-Aug-2005","13-Mar-2018","7","Active"
"","1000012992","Groundwater","16-Aug-2005","16-Aug-2005","2","Not Active"
"","1000012995","Groundwater","18-Aug-2005","06-Mar-2008","14","Not Active"
"","1000012997","Groundwater","18-Aug-2005","18-Aug-2005","2","Not Active"
"","1000012999","Groundwater","05-Aug-2005","05-Aug-2005","1","Not Active"
"","1000013004","Groundwater","04-May-2005","04-May-2005","1","Not Active"
"","1000013192","Groundwater","17-Aug-2005","17-Aug-2005","2","Not Active"
"","1000013797","Groundwater","14-Feb-2006","14-Oct-2009","24","Not Active"
"","1000013800","Groundwater","07-Feb-2006","20-Nov-2017","42","Active"
"","1000013804","Groundwater","01-Feb-2006","16-Oct-2009","24","Not Active"
"","1000014208","Groundwater","08-Jul-2004","08-Jul-2004","1","Not Active"
"","1000014626","Groundwater","28-Apr-2006","28-Apr-2006","1","Not Active"
"","1000016472","Groundwater","21-Feb-2007","21-Feb-2007","2","Not Active"
"","100014","Groundwater","23-Oct-1979","23-Oct-1979","1","Not Active"
"","1000189598","Spring","19-Mar-2007","19-Mar-2007","1","Not Active"
"","1000189600","Groundwater","16-Feb-2007","17-Oct-2007","5","Not Active"
"","1000189602","Spring","16-Feb-2007","17-Oct-2007","5","Not Active"
"","1000189604","Spring","21-Mar-2007","15-Mar-2018","33","Not Active"
"","1000189606","Groundwater","26-Sept-2007","27-Mar-2008","4","Not Active"
"","1000189609","Groundwater","20-Mar-2007","29-Sept-2010","10","Not Active"
"","1000189611","Groundwater","20-Mar-2007","24-Mar-2009","10","Not Active"
"","1000189613","Groundwater","21-Mar-2007","25-Mar-2009","9","Not Active"
"","1000189615","Groundwater","27-Sept-2007","23-Sept-2008","6","Not Active"
"","1000189617","Groundwater","19-Mar-2007","07-Apr-2011","8","Not Active"
"","1000189619","Groundwater","20-Mar-2007","26-Sept-2007","4","Not Active"
"","1000189621","Groundwater","20-Mar-2007","24-Mar-2009","10","Not Active"
"","1000189623","Groundwater","20-Mar-2007","24-Mar-2009","10","Not Active"
"","1000189625","Groundwater","20-Mar-2007","24-Mar-2009","8","Not Active"
"","1000189627","Groundwater","21-Mar-2007","29-Sept-2010","11","Not Active"
"","1000189628","Groundwater","20-Mar-2007","27-Mar-2018","33","Active"
"","1000189630","Groundwater","22-Mar-2007","25-Oct-2017","12","Not Active"
"","1000189648","Groundwater","22-Mar-2007","31-Oct-2008","4","Not Active"
"","1000189664","Groundwater","28-Mar-2007","28-Mar-2007","1","Not Active"
"","1000189666","Groundwater","28-Mar-2007","28-Mar-2007","1","Not Active"
"","1000189668","Spring","28-Mar-2007","28-Mar-2007","1","Not Active"
"","1000189670","Groundwater","28-Mar-2007","28-Mar-2007","1","Not Active"
"","1000189672","Spring","28-Mar-2007","28-Mar-2007","1","Not Active"
"","1000189736","Spring","21-Mar-2007","26-Mar-2009","10","Not Active"
"","1000189738","Groundwater","21-Mar-2007","12-May-2014","25","Not Active"
"","1000189740","River","21-Mar-2007","12-Sept-2013","17","Not Active"
"","1000189742","Groundwater","19-Feb-2007","25-Mar-2009","11","Not Active"
"","1000189744","Groundwater","21-Mar-2007","27-Mar-2018","31","Not Active"
"","1000189746","Groundwater","20-Mar-2007","23-Mar-2009","10","Not Active"
"","1000189748","Groundwater","20-Mar-2007","23-Mar-2009","9","Not Active"
"","1000189750","Groundwater","20-Mar-2007","23-Mar-2009","10","Not Active"
"","1000189752","Groundwater","20-Mar-2007","29-Sept-2015","20","Not Active"
"","1000189754","Groundwater","20-Mar-2007","24-Mar-2009","9","Not Active"
"","1000189756","Groundwater","20-Mar-2007","14-Mar-2018","32","Not Active"
"","1000189758","Groundwater","20-Mar-2007","27-Mar-2018","30","Not Active"
"","1000189760","Groundwater","20-Mar-2007","25-Mar-2013","9","Not Active"
"","1000189762","Groundwater","20-Mar-2007","26-Mar-2018","25","Not Active"
"","1000189765","Groundwater","20-Mar-2007","20-Mar-2007","3","Not Active"
"","1000189767","Groundwater","20-Mar-2007","14-Mar-2018","32","Not Active"
"","1000189769","Groundwater","20-Mar-2007","22-Sept-2008","8","Not Active"
"","1000189771","Groundwater","20-Mar-2007","14-Mar-2018","26","Not Active"
"","1000189773","Groundwater","20-Mar-2007","27-Sept-2017","29","Not Active"
"","1000189775","Groundwater","20-Mar-2007","24-Mar-2009","10","Not Active"
"","1000189777","Groundwater","19-Mar-2007","04-Apr-2017","22","Not Active"
"","1000189779","Groundwater","19-Mar-2007","19-Mar-2007","2","Not Active"
"","1000189781","Groundwater","19-Mar-2007","25-Mar-2009","10","Not Active"
"","1000189783","Groundwater","19-Mar-2007","29-Sept-2010","12","Not Active"
"","1000189785","Groundwater","19-Mar-2007","14-Mar-2018","31","Not Active"
"","1000189787","Groundwater","19-Mar-2007","25-Sept-2007","4","Not Active"
"","1000189789","Groundwater","19-Mar-2007","24-Mar-2010","10","Not Active"
"","1000189791","Groundwater","19-Mar-2007","27-Mar-2018","31","Not Active"
"","1000189793","Groundwater","21-Mar-2007","27-Mar-2008","6","Not Active"
"","1000189795","Groundwater","21-Mar-2007","29-Sept-2010","12","Not Active"
"","1000189797","Groundwater","20-Mar-2007","20-Mar-2007","2","Not Active"
"","1000189799","Groundwater","21-Mar-2007","28-Sept-2017","31","Not Active"
"","1000189801","Groundwater","26-Sept-2007","29-Sept-2015","22","Not Active"
"","1000189896","Groundwater","24-May-2007","23-Oct-2008","6","Not Active"
"","1000263063","Groundwater","16-Oct-2013","16-Oct-2013","2","Not Active"
"","1000263064","Groundwater","16-Oct-2013","16-Oct-2013","2","Not Active"
"","1000263065","Groundwater","16-Oct-2013","16-Oct-2013","2","Not Active"
"","1000263066","Groundwater","16-Oct-2013","16-Oct-2013","2","Not Active"
"","1000263067","Groundwater","16-Oct-2013","16-Oct-2013","2","Not Active"
"","1000263068","Groundwater","16-Oct-2013","16-Oct-2013","2","Not Active"
"","1000263235","Groundwater","16-Oct-2013","17-Oct-2013","2","Not Active"
"","1000263236","Groundwater","17-Oct-2013","17-Oct-2013","2","Not Active"
"","1000263237","Groundwater","17-Oct-2013","17-Oct-2013","2","Not Active"
"","1000263238","Groundwater","17-Oct-2013","17-Oct-2013","2","Not Active"
"","1000263239","Groundwater","17-Oct-2013","17-Oct-2013","2","Not Active"
"","1000263242","Groundwater","17-Oct-2013","17-Oct-2013","2","Not Active"
"","1000264755","Groundwater","26-May-2016","26-May-2016","1","Not Active"
"","1000265379","River","13-Apr-2021","05-Jun-2025","66","Active"
"","1000265380","River","19-May-2021","05-Jun-2025","64","Active"
"","1000265381","River","13-Apr-2021","05-Jun-2025","36","Active"
"","1000265383","Transfer","13-Apr-2021","05-Jun-2025","66","Active"
"","1000265437","Waste","13-Apr-2021","05-Jun-2025","58","Active"
"","1000265469","Groundwater","20-Oct-2022","10-Apr-2025","5","Not Active"
"","1000265483","Spring","21-Oct-2022","14-Apr-2025","8","Not Active"
"","1000265529","River","14-Nov-2023","16-Jul-2025","13","Active"
"","1000265542","River","26-Jan-2023","05-Jun-2025","52","Active"
"","1000265543","River","14-Jun-2023","27-Nov-2024","17","Active"
"","1000265544","River","08-Mar-2023","10-Dec-2024","26","Active"
"","1000265545","River","26-Jan-2023","03-Oct-2024","25","Active"
"","1000265558","River","08-Mar-2023","05-Jun-2025","30","Active"
"","1000265621","Dam / Lake","25-Jan-2023","18-Jul-2023","5","Active"
"","1000265625","Groundwater","24-Jan-2023","24-Jan-2023","2","Active"
"","1000265913","Other","11-Oct-2022","22-Jul-2024","21","Active"
"","1000265914","Other","11-Oct-2022","22-Jul-2024","21","Active"
"","1000265915","Other","11-Oct-2022","22-Jul-2024","21","Active"
"","1000265916","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265917","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265918","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265919","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265920","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265921","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265922","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265923","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265924","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265925","Other","11-Oct-2022","22-Jul-2024","20","Active"
"","1000265926","Other","11-Oct-2022","22-Jul-2024","19","Active"
"","1000265927","Other","11-Oct-2022","22-Jul-2024","16","Active"
"","1000265928","Other","11-Oct-2022","23-May-2024","13","Active"
"","1000265929","Other","16-Jan-2023","23-May-2024","8","Active"
"","1000265930","Other","16-Jan-2023","23-May-2024","6","Active"
"","1000265931","River","06-Sept-2023","14-Jan-2025","9","Not Active"
"","1000265932","River","25-Jul-2023","12-May-2025","28","Active"
"","1000266086","River","17-May-2024","02-Jul-2025","30","Active"
"","1000266087","River","16-May-2024","12-Jun-2025","28","Active"
"","1000266106","River","13-Jul-2023","13-May-2025","19","Active"
"","100058","River","23-Oct-1971","10-Jun-2025","113","Active"
"","100060","River","23-Oct-1971","31-Jul-2025","98","Active"
"","100062","River","23-Oct-1971","22-Oct-1975","35","Not Active"
"","101235","Spring","16-Feb-1994","16-Feb-1994","1","Not Active"
"","101236","Spring","16-Feb-1994","16-Feb-1994","1","Not Active"
"","101237","Spring","17-Feb-1994","15-Sept-1994","2","Not Active"
"","101241","Spring","03-Mar-1994","03-Mar-1994","1","Not Active"
"","101243","Spring","02-Mar-1994","02-Mar-1994","1","Not Active"
"","101244","Groundwater","18-Mar-1994","18-Mar-1994","1","Not Active"
"","101245","Groundwater","18-Mar-1994","18-Mar-1994","1","Not Active"
